Date,Price,Open,High,Low,Vol.,Change %
12/25/79,839.16,838.91,842.32,833.19,,0.00%
12/26/79,838.14,839.16,843.09,833.79,,-0.12%
12/27/79,840.1,838.14,842.83,834.47,,0.23%
12/28/79,838.91,840.1,843.43,834.64,,-0.14%
12/31/79,838.74,838.91,843.17,834.39,,-0.02%
1/2/80,824.57,838.74,841.2,822.34,,-1.69%
1/3/80,820.31,824.56,827.73,809.05,,-0.52%
1/4/80,828.84,820.31,833.53,819.03,,1.04%
1/7/80,832,828.84,839.84,824.73,,0.38%
1/8/80,851.71,832,853.67,828.84,,2.37%
1/9/80,850.09,851.7,865.7,846.77,,-0.19%
1/10/80,858.96,850.09,866.72,848.89,,1.04%
1/11/80,858.53,858.95,868.17,848.89,,-0.05%
1/14/80,863.57,858.53,870.66,854.95,,0.59%
1/15/80,868.6,863.56,873.81,855.89,,0.58%
1/16/80,865.19,868.59,881.14,862.13,,-0.39%
1/17/80,863.57,865.19,872.95,857,,-0.19%
1/18/80,867.15,863.56,873.2,855.3,,0.41%
1/21/80,872.78,867.16,880.03,863.66,,0.65%
1/22/80,866.21,872.78,879.95,861.95,,-0.75%
1/23/80,877.56,866.2,883.02,859.39,,1.31%
1/24/80,879.95,877.56,891.38,874.16,,0.27%
1/25/80,876.11,879.95,882.25,869.03,,-0.44%
1/28/80,878.5,876.11,884.56,866.64,,0.27%
1/29/80,874.4,878.5,885.67,864.59,,-0.47%
1/30/80,881.91,874.41,886.09,870.14,,0.86%
1/31/80,875.85,881.91,897.88,873.05,,-0.69%
2/1/80,881.48,875.84,884.64,866.3,,0.64%
2/4/80,875.09,881.48,887.38,870.48,,-0.72%
2/5/80,876.62,875.09,880.89,868.17,,0.17%
2/6/80,881.83,876.63,888.05,867.92,,0.59%
2/7/80,885.49,881.83,897.27,878.23,,0.42%
2/8/80,895.73,885.48,901.11,879.86,,1.16%
2/11/80,889.59,895.73,902.39,884.05,,-0.69%
2/12/80,898.98,889.59,901.38,880.97,,1.06%
2/13/80,903.84,898.98,918.17,896.59,,0.54%
2/14/80,893.77,903.84,912.03,886.86,,-1.11%
2/15/80,884.98,892.92,892.92,875.09,,-0.98%
2/18/80,884.98,892.92,892.92,875.09,,0.00%
2/19/80,876.02,883.95,883.95,869.38,,-1.01%
2/20/80,886.86,876.02,891.3,872.44,,1.24%
2/21/80,868.52,886.86,891.13,863.98,,-2.07%
2/22/80,868.77,868.52,877.47,855.8,,0.03%
2/25/80,859.81,868.77,868.94,854.61,,-1.03%
2/26/80,864.25,859.81,869.45,853.23,,0.52%
2/27/80,855.12,864.25,875.27,850.09,,-1.06%
2/28/80,854.44,855.13,865.09,847.27,,-0.08%
2/29/80,863.14,854.44,866.55,850.84,,1.02%
3/3/80,854.35,863.14,868.27,851.38,,-1.02%
3/4/80,856.48,854.34,859.91,842.75,,0.25%
3/5/80,844.88,856.48,868.69,840.78,,-1.35%
3/6/80,828.07,844.88,848.13,822.44,,-1.99%
3/7/80,820.56,828.06,832.52,813.23,,-0.91%
3/10/80,818.94,820.56,828.84,807.25,,-0.20%
3/11/80,826.45,818.94,831.91,817.58,,0.92%
3/12/80,819.54,826.45,829.86,808.7,,-0.84%
3/13/80,809.56,819.55,825.27,806.56,,-1.22%
3/14/80,811.69,809.56,819.11,800.69,,0.26%
3/17/80,788.65,811.27,811.27,784.98,,-2.84%
3/18/80,801.62,788.66,806.66,780.97,,1.64%
3/19/80,800.94,801.63,812.13,794.97,,-0.08%
3/20/80,789.08,800.94,804.61,785.92,,-1.48%
3/21/80,785.15,789.08,794.7,779.52,,-0.50%
3/24/80,765.44,784.98,784.98,761.69,,-2.51%
3/25/80,767.83,765.44,777.47,758.36,,0.31%
3/26/80,762.12,767.83,781.66,758.8,,-0.74%
3/27/80,759.98,762.13,767.41,729.95,,-0.28%
3/28/80,777.65,759.98,784.39,756.56,,2.33%
3/31/80,785.75,777.66,790.88,772.19,,1.04%
4/1/80,784.47,785.75,792.16,776.28,,-0.16%
4/2/80,787.8,784.47,796.42,779.95,,0.42%
4/3/80,784.13,787.8,791.98,778.23,,-0.47%
4/7/80,768.34,784.13,784.39,765.44,,-2.01%
4/8/80,775,768.34,779.61,759.81,,0.87%
4/9/80,785.92,775,790.02,772.44,,1.41%
4/10/80,791.47,785.92,796.42,783.02,,0.71%
4/11/80,791.55,791.47,800.84,786.52,,0.01%
4/14/80,784.9,791.55,791.81,779.52,,-0.84%
4/15/80,783.36,784.91,792.41,778.84,,-0.20%
4/16/80,771.25,783.36,794.88,769.8,,-1.55%
4/17/80,768.86,771.25,776.38,762.13,,-0.31%
4/18/80,763.4,768.86,775.94,760.31,,-0.71%
4/21/80,759.13,763.41,769.62,751.37,,-0.56%
4/22/80,789.85,771.33,793.44,771.33,,4.05%
4/23/80,789.25,789.84,801.11,784.13,,-0.08%
4/24/80,797.1,789.25,804.95,785.23,,0.99%
4/25/80,803.58,797.09,806.73,786.34,,0.81%
4/28/80,805.46,803.58,814.69,798.72,,0.23%
4/29/80,811.09,805.45,816.2,802.66,,0.70%
4/30/80,817.06,811.09,818.52,801.02,,0.74%
5/1/80,808.79,817.06,820.22,803.23,,-1.01%
5/2/80,810.92,808.8,815.7,802.98,,0.26%
5/5/80,816.3,810.92,819.2,803.58,,0.66%
5/6/80,816.04,816.3,827.66,808.28,,-0.03%
5/7/80,821.25,816.05,828.67,810.48,,0.64%
5/8/80,815.19,821.25,827.47,811.02,,-0.74%
5/9/80,805.8,815.09,815.09,802.47,,-1.15%
5/12/80,805.2,805.8,810.31,795.81,,-0.07%
5/13/80,816.89,805.2,820.39,803.06,,1.45%
5/14/80,819.62,816.89,827.73,813.73,,0.33%
5/15/80,822.53,819.63,829.34,816.05,,0.36%
5/16/80,826.88,822.53,829.52,819.11,,0.53%
5/19/80,830.89,826.88,835.75,820.66,,0.48%
5/20/80,832.51,830.89,837.13,825.59,,0.19%
5/21/80,831.06,832.52,836.44,821.5,,-0.17%
5/22/80,842.92,831.06,848.63,828.84,,1.43%
5/23/80,854.1,843.34,858.63,843.34,,1.33%
5/27/80,857.76,854.09,864.42,851.28,,0.43%
5/28/80,860.32,857.77,866.13,850.09,,0.30%
5/29/80,846.25,860.31,863.66,844.7,,-1.64%
5/30/80,850.85,846.25,853.23,835.06,,0.54%
6/2/80,847.35,850.84,857.94,842.92,,-0.41%
6/3/80,843.77,847.34,851.95,840.7,,-0.42%
6/4/80,858.02,843.77,860.48,842.75,,1.69%
6/5/80,858.7,858.02,868.59,853.5,,0.08%
6/6/80,861.52,858.7,861.52,853.06,,0.33%
6/9/80,860.67,861.52,867.66,855.72,,-0.10%
6/10/80,863.99,860.67,870.73,855.2,,0.39%
6/11/80,872.7,863.98,876.88,860.23,,1.01%
6/12/80,872.61,872.7,881.41,863.05,,-0.01%
6/13/80,876.37,872.61,883.95,866.81,,0.43%
6/16/80,877.73,876.38,883.19,868.77,,0.16%
6/17/80,879.27,877.73,887.63,872.34,,0.18%
6/18/80,881.91,879.27,885.31,870.14,,0.30%
6/19/80,870.9,881.91,886.02,869.63,,-1.25%
6/20/80,869.71,870.91,875.09,863.31,,-0.14%
6/23/80,873.81,869.7,879.61,864.84,,0.47%
6/24/80,877.3,873.81,881.31,867.16,,0.40%
6/25/80,887.54,877.3,892.48,874.91,,1.17%
6/26/80,883.45,887.55,896.33,880.03,,-0.46%
6/27/80,881.83,883.45,889.08,874.48,,-0.18%
6/30/80,867.92,880.89,880.89,864.33,,-1.58%
7/1/80,872.27,867.92,876.02,862.63,,0.50%
7/2/80,876.02,872.27,880.45,867.06,,0.43%
7/3/80,888.91,876.02,890.78,874.83,,1.47%
7/7/80,898.21,888.91,900.77,886.86,,1.05%
7/8/80,897.35,898.2,904.86,891.38,,-0.10%
7/9/80,897.27,897.34,908.88,892.58,,-0.01%
7/10/80,885.92,897.27,900.34,883.28,,-1.26%
7/11/80,887.13,885.92,895.22,880.8,,0.14%
7/14/80,905.55,891.13,908.28,887.2,,2.08%
7/15/80,901.54,905.55,916.05,899.23,,-0.44%
7/16/80,904.44,901.55,912.97,898.2,,0.32%
7/17/80,915.1,904.44,916.64,902.05,,1.18%
7/18/80,923.98,915.09,930.8,914.42,,0.97%
7/21/80,928.67,923.98,933.28,916.38,,0.51%
7/22/80,927.3,928.67,940.78,922.19,,-0.15%
7/23/80,928.58,927.3,937.7,920.98,,0.14%
7/24/80,926.11,928.58,933.8,919.97,,-0.27%
7/25/80,918.09,925.34,925.34,913.23,,-0.87%
7/28/80,925.43,918.09,927.73,911.69,,0.80%
7/29/80,931.91,925.44,935.16,921.25,,0.70%
7/30/80,936.18,931.91,946.94,926.55,,0.46%
7/31/80,935.32,936.19,939.52,918.77,,-0.09%
8/1/80,931.48,935.31,940.02,924.83,,-0.41%
8/4/80,931.06,931.48,935.23,918.52,,-0.05%
8/5/80,929.78,931.06,938.81,924.23,,-0.14%
8/6/80,938.23,929.78,941.05,923.63,,0.91%
8/7/80,950.94,938.23,953.75,935.84,,1.35%
8/8/80,954.69,950.94,965.88,949.73,,0.39%
8/11/80,964.08,954.69,966.89,950.44,,0.98%
8/12/80,952.39,964.08,969.97,948.72,,-1.21%
8/13/80,949.23,952.39,958.8,944.45,,-0.33%
8/14/80,962.63,949.23,965.36,943.69,,1.41%
8/15/80,966.72,962.63,972.34,956.31,,0.42%
8/18/80,948.63,961.95,961.95,944.97,,-1.87%
8/19/80,939.85,948.63,952.13,937.38,,-0.93%
8/20/80,945.31,939.84,948.98,934.47,,0.58%
8/21/80,955.03,945.31,958.53,943.94,,1.03%
8/22/80,958.19,955.03,969.45,952.73,,0.33%
8/25/80,956.23,958.19,961.34,947.7,,-0.20%
8/26/80,953.41,956.23,964.59,949.91,,-0.29%
8/27/80,943.09,953.23,953.23,939.69,,-1.08%
8/28/80,930.38,943.09,944.03,927.22,,-1.35%
8/29/80,932.59,930.38,936.44,923.05,,0.24%
9/2/80,940.78,932.59,944.8,928.16,,0.88%
9/3/80,953.16,940.78,955.2,939.84,,1.32%
9/4/80,948.81,953.16,964.84,942.92,,-0.46%
9/5/80,940.96,948.81,950.69,937.03,,-0.83%
9/8/80,928.58,940.95,945.48,925.34,,-1.32%
9/9/80,934.73,928.58,936.09,919.03,,0.66%
9/10/80,938.48,934.73,946.16,930.63,,0.40%
9/11/80,941.3,938.48,947.78,934.39,,0.30%
9/12/80,936.52,941.3,945.48,932.52,,-0.51%
9/15/80,937.63,936.52,942.58,926.95,,0.12%
9/16/80,945.9,937.63,953.06,935.31,,0.88%
9/17/80,961.26,945.91,966.98,943.69,,1.62%
9/18/80,956.48,961.27,972.02,950.27,,-0.50%
9/19/80,963.74,956.48,972.7,950.77,,0.76%
9/22/80,974.57,963.73,977.05,955.3,,1.12%
9/23/80,962.03,974.56,980.72,957.94,,-1.29%
9/24/80,964.76,962.03,972.78,952.73,,0.28%
9/25/80,955.97,964.77,972.61,953.06,,-0.91%
9/26/80,940.1,952.66,952.66,934.98,,-1.66%
9/29/80,921.93,934.81,934.81,918,,-1.93%
9/30/80,932.42,921.94,937.2,921.59,,1.14%
10/1/80,939.42,932.42,945.14,923.05,,0.75%
10/2/80,942.24,939.42,948.2,931.31,,0.30%
10/3/80,950.68,942.23,957.84,938.41,,0.90%
10/6/80,965.7,950.84,969.63,950.84,,1.58%
10/7/80,960.67,965.7,973.05,955.55,,-0.52%
10/8/80,963.99,960.67,971.42,955.3,,0.35%
10/9/80,958.96,963.98,971.08,953.06,,-0.52%
10/10/80,950.68,958.95,965.7,946.25,,-0.86%
10/13/80,959.9,950.69,963.66,946.5,,0.97%
10/14/80,962.2,959.91,971.67,957.08,,0.24%
10/15/80,972.44,962.2,975.94,959.73,,1.06%
10/16/80,958.7,972.44,987.3,956.56,,-1.41%
10/17/80,956.14,958.7,966.05,946.42,,-0.27%
10/20/80,960.84,956.14,964.42,946.59,,0.49%
10/21/80,954.44,960.84,968.69,949.91,,-0.67%
10/22/80,955.12,954.44,961.77,947.88,,0.07%
10/23/80,939.51,955.13,958.28,936.69,,-1.63%
10/24/80,943.6,939.52,947.34,931.06,,0.44%
10/27/80,931.74,943.59,944.63,930.13,,-1.26%
10/28/80,932.59,931.73,937.55,922.78,,0.09%
10/29/80,929.18,932.59,941.64,925.69,,-0.37%
10/30/80,917.75,929.19,932.52,915.02,,-1.23%
10/31/80,924.49,917.75,929.34,911.59,,0.73%
11/3/80,937.2,924.48,941.3,924.48,,1.37%
11/5/80,953.16,950.34,982.59,950.34,,1.70%
11/6/80,935.41,950.44,950.44,932.08,,-1.86%
11/7/80,932.42,935.41,940.53,926.11,,-0.32%
11/10/80,933.79,932.42,940.44,926.7,,0.15%
11/11/80,944.03,933.8,951.19,933.02,,1.10%
11/12/80,964.93,944.03,968.86,943.77,,2.21%
11/13/80,982.42,964.94,984.64,962.2,,1.81%
11/14/80,986.35,982.42,997.34,974.2,,0.40%
11/17/80,986.26,986.34,990.78,968.94,,-0.01%
11/18/80,997.95,986.27,"1,005.20",985.92,,1.19%
11/19/80,991.04,997.95,"1,009.39",983.36,,-0.69%
11/20/80,"1,000.17",991.05,"1,004.61",984.91,,0.92%
11/21/80,989.93,"1,000.17","1,004.69",984.3,,-1.02%
11/24/80,978.75,988.14,988.14,967.66,,-1.13%
11/25/80,982.68,978.75,993.52,973.05,,0.40%
11/26/80,989.68,982.69,"1,000.77",979.86,,0.71%
11/28/80,993.34,989.69,998.78,980.38,,0.37%
12/1/80,969.45,991.13,991.13,966.38,,-2.41%
12/2/80,974.4,969.45,979.69,954.95,,0.51%
12/3/80,972.27,974.41,981.56,963.56,,-0.22%
12/4/80,970.48,972.27,984.22,963.31,,-0.18%
12/5/80,956.23,970.48,972.61,951.45,,-1.47%
12/8/80,933.7,951.19,951.19,928.33,,-2.36%
12/9/80,934.04,933.7,944.28,921.59,,0.04%
12/10/80,916.21,934.05,943.52,914.16,,-1.91%
