Year,USPop,GlobalPop,USGDP,GlobalGDP,,
1960,180671000,3032156070,5.433E+11,1.39205E+12,,
1961,183691000,3071596055,5.633E+11,1.44839E+12,,
1962,186538000,3124561005,6.051E+11,1.5503E+12,,
1963,189242000,3189655687,6.386E+11,1.67135E+12,,
1964,191889000,3255145692,6.858E+11,1.83E+12,,26.07142857
1965,194303000,3322046795,7.437E+11,1.99359E+12,,44321.42857
1966,196560000,3392097729,8.15E+11,2.16355E+12,,234321.4286
1967,198712000,3461619724,8.617E+11,2.30217E+12,,278642.8571
1968,200706000,3532782993,9.425E+11,2.48482E+12,,
1969,202677000,3606553753,1.0199E+12,2.74074E+12,,
1970,205052000,3681975908,1.0733E+12,2.99675E+12,,
1971,207661000,3760516757,1.16485E+12,3.31026E+12,,
1972,209896000,3836900801,1.27911E+12,3.81654E+12,,
1973,211909000,3912984371,1.42538E+12,4.65624E+12,,
1974,213854000,3988487336,1.54524E+12,5.36674E+12,,
1975,215973000,4062507027,1.6849E+12,5.97799E+12,,
1976,218035000,4135432265,1.87341E+12,6.49837E+12,,
1977,220239000,4207786422,2.08183E+12,7.34966E+12,,
1978,222585000,4281339378,2.3516E+12,8.65521E+12,,
1979,225055000,4356778367,2.62733E+12,1.00527E+13,,
1980,227225000,4432963653,2.85731E+12,1.13349E+13,,
1981,229466000,4511164132,3.20704E+12,1.17259E+13,,
1982,231664000,4592387213,3.34379E+12,1.16081E+13,,
1983,233792000,4674330282,3.63404E+12,1.18383E+13,,
1984,235825000,4755996689,4.03761E+12,1.22698E+13,,
1985,237924000,4839176734,4.33898E+12,1.28601E+13,,
1986,240133000,4924747934,4.57963E+12,1.52053E+13,,
1987,242289000,5012556248,4.85522E+12,1.73072E+13,,
1988,244499000,5101287675,5.23644E+12,1.9338E+13,,
1989,246819000,5189977062,5.64158E+12,2.0194E+13,,
1990,249623000,5280062644,5.96314E+12,2.278E+13,,
1991,252981000,5368139818,6.15813E+12,2.37596E+13,,
1992,256514000,5452576967,6.52033E+12,2.54061E+13,,
1993,259919000,5537885402,6.85856E+12,2.5822E+13,,
1994,263126000,5622085293,7.28724E+12,2.78723E+13,,
1995,266278000,5706753581,7.63975E+12,3.10436E+13,,
1996,269394000,5789655178,8.07312E+12,3.17367E+13,,
1997,272657000,5872284397,8.57755E+12,3.16204E+13,,
1998,275854000,5954004340,9.06282E+12,3.154E+13,,
1999,279040000,6034484369,9.63117E+12,3.27374E+13,,
2000,282162411,6114324044,1.02509E+13,3.38309E+13,,
2001,284968955,6193663732,1.05819E+13,3.36154E+13,,
2002,287625193,6272724236,1.09291E+13,3.49114E+13,,
2003,290107933,6351855732,1.14564E+13,3.9147E+13,,
2004,292805298,6431527221,1.22172E+13,4.41176E+13,,
2005,295516599,6511724848,1.30392E+13,4.77797E+13,,
2006,298379912,6592711655,1.38156E+13,5.17798E+13,,
2007,301231207,6674181848,1.44742E+13,5.8355E+13,,
2008,304093966,6757000414,1.47699E+13,6.41237E+13,,
2009,306771529,6839553692,1.44781E+13,6.08091E+13,,
2010,309327143,6921854591,1.5049E+13,6.65961E+13,,
2011,311583481,7003760440,1.55997E+13,7.38538E+13,,
2012,313877662,7089254548,1.6254E+13,7.54881E+13,,
2013,316059947,7175500378,1.68432E+13,7.76072E+13,,
2014,318386329,7261846543,1.75507E+13,7.97088E+13,,
2015,320738994,7347679005,1.8206E+13,7.51793E+13,,
2016,323071755,7433650819,1.86951E+13,7.64656E+13,,
2017,325122128,7519371102,1.94796E+13,8.1404E+13,,
2018,326838199,7602716232,2.05272E+13,8.6413E+13,,
2019,328329953,7683806444,2.13726E+13,8.76529E+13,,
2020,331501080,7763932702,2.08937E+13,8.49068E+13,,
2021,331893745,7836630792,2.29961E+13,9.61001E+13,,
