Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/00,AQS,360610010,1,39.8,ug/m3 LC,112,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/2/00,AQS,360610010,1,41.3,ug/m3 LC,115,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/3/00,AQS,360610010,1,30.8,ug/m3 LC,90,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/4/00,AQS,360610010,1,16.4,ug/m3 LC,60,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/5/00,AQS,360610010,1,7.8,ug/m3 LC,33,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/7/00,AQS,360610010,1,23.1,ug/m3 LC,74,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/8/00,AQS,360610010,1,18.2,ug/m3 LC,64,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/9/00,AQS,360610010,1,27,ug/m3 LC,82,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/10/00,AQS,360610010,1,19.4,ug/m3 LC,66,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/11/00,AQS,360610010,1,9.7,ug/m3 LC,40,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/12/00,AQS,360610010,1,11.4,ug/m3 LC,48,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/13/00,AQS,360610010,1,12.5,ug/m3 LC,52,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/14/00,AQS,360610010,1,10.4,ug/m3 LC,43,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/16/00,AQS,360610010,1,13.3,ug/m3 LC,54,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
1/24/00,AQS,360610010,1,41.2,ug/m3 LC,115,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/9/00,AQS,360610010,1,27.9,ug/m3 LC,84,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/10/00,AQS,360610010,1,48.2,ug/m3 LC,132,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/11/00,AQS,360610010,1,43.8,ug/m3 LC,121,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/12/00,AQS,360610010,1,13.3,ug/m3 LC,54,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/13/00,AQS,360610010,1,14.1,ug/m3 LC,55,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/14/00,AQS,360610010,1,17.5,ug/m3 LC,62,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/15/00,AQS,360610010,1,14.1,ug/m3 LC,55,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/16/00,AQS,360610010,1,25.1,ug/m3 LC,78,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/17/00,AQS,360610010,1,10.7,ug/m3 LC,45,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/18/00,AQS,360610010,1,13.6,ug/m3 LC,54,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/19/00,AQS,360610010,1,17.8,ug/m3 LC,63,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/20/00,AQS,360610010,1,19.2,ug/m3 LC,66,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/21/00,AQS,360610010,1,20.3,ug/m3 LC,68,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/22/00,AQS,360610010,1,38.5,ug/m3 LC,108,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
2/23/00,AQS,360610010,1,31.5,ug/m3 LC,92,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
